lastAppOpenAction lastAudioCable lastLocationChanged lastChargeCable lastWiFiConnected lastDataConnected lastBluetoothConnected lastLightChanged packName
AppOpenAction[com.sina.weibo] null LocationChangedAction[] null null null null null AppOpenAction[com.baidu.tieba]
null null null null WiFiConnectedAction["Lancelot"] null null null AppOpenAction[com.google.android.gms]
AppOpenAction[com.google.android.gms] null null null null null null LightChangedAction[lighter] AppOpenAction[com.tmri.app.main]
AppOpenAction[com.tmri.app.main] null LocationChangedAction[] null null null null LightChangedAction[lighter] AppOpenAction[com.tmri.app.main]
AppOpenAction[com.tmri.app.main] null LocationChangedAction[] null null null null LightChangedAction[lighter] AppOpenAction[com.android.dialer]
AppOpenAction[com.android.dialer] null LocationChangedAction[] null null null null LightChangedAction[lighter] AppOpenAction[com.android.incallui]
AppOpenAction[com.android.incallui] null LocationChangedAction[] null null null null LightChangedAction[lighter] AppOpenAction[com.android.dialer]
AppOpenAction[com.android.dialer] null LocationChangedAction[] null null null null LightChangedAction[lighter] AppOpenAction[com.supercell.clashroyale]
AppOpenAction[com.supercell.clashroyale] null LocationChangedAction[] null null null null LightChangedAction[lighter] AppOpenAction[com.google.android.gms]
AppOpenAction[com.google.android.gms] null LocationChangedAction[] null null DataConnectedAction[] null LightChangedAction[lighter] AppOpenAction[com.meizu.media.video]
AppOpenAction[com.meizu.media.video] null LocationChangedAction[] null null DataConnectedAction[] null LightChangedAction[lighter] AppOpenAction[com.sina.weibo]
AppOpenAction[com.sina.weibo] null LocationChangedAction[] null null DataConnectedAction[] null LightChangedAction[lighter] AppOpenAction[com.google.android.gms]
AppOpenAction[com.google.android.gms] null LocationChangedAction[] null null DataConnectedAction[] null LightChangedAction[lighter] AppOpenAction[com.supercell.clashroyale]
AppOpenAction[com.supercell.clashroyale] null LocationChangedAction[] null null DataConnectedAction[] null LightChangedAction[lighter] AppOpenAction[com.sina.weibo]
AppOpenAction[com.sina.weibo] null LocationChangedAction[] null null DataConnectedAction[] null LightChangedAction[lighter] AppOpenAction[com.android.settings]
AppOpenAction[com.android.settings] null LocationChangedAction[] null WiFiConnectedAction["��WIFI"] DataConnectedAction[] null LightChangedAction[lighter] AppOpenAction[com.android.captiveportallogin]
AppOpenAction[com.android.captiveportallogin] null LocationChangedAction[] null WiFiConnectedAction["��WIFI"] DataConnectedAction[] null LightChangedAction[lighter] AppOpenAction[com.tencent.mm]
AppOpenAction[com.tencent.mm] null LocationChangedAction[] null WiFiConnectedAction["��WIFI"] DataConnectedAction[] null LightChangedAction[lighter] AppOpenAction[com.tencent.mm]
AppOpenAction[com.tencent.mm] null LocationChangedAction[] null WiFiConnectedAction["��WIFI"] DataConnectedAction[] null LightChangedAction[draker] AppOpenAction[com.google.android.gms]
AppOpenAction[com.google.android.gms] null LocationChangedAction[] null WiFiConnectedAction["��WIFI"] DataConnectedAction[] null LightChangedAction[draker] AppOpenAction[com.tencent.mm]
AppOpenAction[com.tencent.mm] null LocationChangedAction[] null WiFiConnectedAction["��WIFI"] DataConnectedAction[] null LightChangedAction[lighter] AppOpenAction[com.tencent.mm]
AppOpenAction[com.tencent.mm] null LocationChangedAction[] null WiFiConnectedAction["��WIFI"] null null LightChangedAction[draker] AppOpenAction[com.tencent.mm]
AppOpenAction[com.tencent.mm] null LocationChangedAction[] null WiFiConnectedAction["��WIFI"] null null LightChangedAction[draker] AppOpenAction[com.google.android.gms]
AppOpenAction[com.google.android.gms] null LocationChangedAction[] null WiFiConnectedAction["��WIFI"] null null LightChangedAction[lighter] AppOpenAction[com.tencent.mm]
AppOpenAction[com.tencent.mm] null LocationChangedAction[] null WiFiConnectedAction["��WIFI"] null null LightChangedAction[draker] AppOpenAction[com.android.incallui]
AppOpenAction[com.android.incallui] null LocationChangedAction[] null WiFiConnectedAction["��WIFI"] null null LightChangedAction[lighter] AppOpenAction[com.tencent.mm]
AppOpenAction[com.tencent.mm] null LocationChangedAction[] null WiFiConnectedAction["��WIFI"] null null LightChangedAction[lighter] AppOpenAction[com.supercell.clashroyale]
AppOpenAction[com.supercell.clashroyale] null LocationChangedAction[] null WiFiConnectedAction["��WIFI"] null null LightChangedAction[lighter] AppOpenAction[com.google.android.gms]
AppOpenAction[com.google.android.gms] null LocationChangedAction[] null WiFiConnectedAction["��WIFI"] null null LightChangedAction[draker] AppOpenAction[com.supercell.clashroyale]
AppOpenAction[com.supercell.clashroyale] null LocationChangedAction[] null null null null LightChangedAction[draker] AppOpenAction[com.supercell.clashroyale]
AppOpenAction[com.supercell.clashroyale] null LocationChangedAction[] null null null null LightChangedAction[draker] AppOpenAction[com.baidu.tieba]
AppOpenAction[com.baidu.tieba] null LocationChangedAction[] null null null null LightChangedAction[lighter] AppOpenAction[com.baidu.tieba]
AppOpenAction[com.baidu.tieba] null LocationChangedAction[] null null null null LightChangedAction[lighter] AppOpenAction[com.tencent.mm]
AppOpenAction[com.tencent.mm] null LocationChangedAction[] null null null null LightChangedAction[lighter] AppOpenAction[com.android.alarmclock]
AppOpenAction[com.android.alarmclock] null LocationChangedAction[] null null null null LightChangedAction[lighter] AppOpenAction[com.tencent.mm]
